name,link
Acme Resources,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/acmeresources/AR9
Acme Spinners,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/acmespinners/ASL01
Acquaint Export,https://www.moneycontrol.com/india/stockpricequote/aquaculture/acquaintexports/AE
Acropetal Tech,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/acropetaltechnologies/AT21
Acrow India,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/acrowindia/AI03
Acrysil India,https://www.moneycontrol.com/india/stockpricequote/acrysilindia/acrysilindia/AI04
Action Const,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/actionconstructionequipment/ACE3
Action Financia,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/actionfinancialservicesindia/AFS01
Active Clothing,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/activeclothingcoltd/ACC
Acumen Trading ,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/acumentradinginvestments/ATI01
Ad Manum Fin,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/admanumfinance/AMF01
Adam Comsof,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/adamcomsof/AC01
Adani Enterpris,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
Adani Green Ene,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanigreenenergylimited/ADANI54145
Adani Ports,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS
Adani Power,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11
Adani Total Gas,https://www.moneycontrol.com/india/stockpricequote/adanitotalgas/adanitotalgas/ADG01
Adani Trans,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22
Adarsh Chemical,https://www.moneycontrol.com/india/stockpricequote/fertilisers/adarshchemicalsfertilisers/ACF
Adarsh Mercant,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adarshmercantile/AM12
Adarsh Plant,https://www.moneycontrol.com/india/stockpricequote/pumps/adarshplantationprojects/APP01
ADC India Comm,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/adcindiacommunications/KC07
Adcon Capital,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adconcapitalservices/ACS06
Adcon Capital S,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adconcapitalservices/ACS03
Add-Life Pharma,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/addlifepharma/ALP
Add-Shop Promot,https://www.moneycontrol.com/india/stockpricequote/personalcare/addshoppromotions/AP12
Addi Industries,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/addiindustries/AI05
Adel Visi,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adelvisi/AV01
ADF Foods,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/adffoodsindustries/AF30
Adharshila Cap,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/adharshilacapitalservices/ACS05
Adhbhut Infra,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adhbhutinfrastructure/AI71
Adhunik Ind,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/adhunikindustries/AI67
Adhunik Metalik,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/adhunikmetaliks/AM9
Adhunik Synth,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/adhuniksynthetics/AS
Adhunik Yarns,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/adhunikyarns/AY
Adinath Bio-Lab,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adinathbiolabs/ABL02
Adinath Exim,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adinatheximresources/AER
ADINATH TEXTILE,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adinathtextiles/AT02
Adithya Alkaloi,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adithyaalkaloids/AAL
Adithya Aqua,https://www.moneycontrol.com/india/stockpricequote/aquaculture/adithyaaquaculture/AAC03
Aditri Industri,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/aditriindustries/AC02
Aditya Birla Ch,https://www.moneycontrol.com/india/stockpricequote/chemicals/adityabirlachemicals/ABC08
Aditya Birla F,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR
Aditya Consumer,https://www.moneycontrol.com/india/stockpricequote/retail/adityaconsumermarketing/ACM01
Aditya Electro,https://www.moneycontrol.com/india/stockpricequote/electricals/adityaelectrocommunications/AEC02
Aditya Exports ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adityaexports/AEL01
Aditya Forge,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/adityaforge/AF
Aditya Int,https://www.moneycontrol.com/india/stockpricequote/trading/adityainternational/AI37
Aditya Ispat,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/adityaispat/AI06
Aditya Lime,https://www.moneycontrol.com/india/stockpricequote/chemicals/adityalimeindustries/ALI01
Aditya Mills,https://www.moneycontrol.com/india/stockpricequote/diversified/adityamills/AML01
Aditya Polymers,https://www.moneycontrol.com/india/stockpricequote/packaging/adityapolymers/APL02
Aditya Spinners,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adityaspinners/AS01
Aditya Vision,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adityavision/AV
Adjia Tech,https://www.moneycontrol.com/india/stockpricequote/software/adjiatechnologies/AT24
Ador Fontech,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorfontech/AF22
Ador Multi,https://www.moneycontrol.com/india/stockpricequote/personalcare/adormultiproducts/AM01
Ador Powertron,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adorpowertron/AP25
Ador Technopak,https://www.moneycontrol.com/india/stockpricequote/packaging/adortechnopak/AT11
Ador Welding,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorwelding/AW01
ADS Diagnostic ,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/adsdiagnostic/ADS
Advait Infratec,https://www.moneycontrol.com/india/stockpricequote/constructioninfrastructure/advaitinfratechlimited/AIL05
Advance Bio-Coa,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancebiocoalindia/ABC04
Advance Life,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/advancelifestyles/AAM
Advance Meter,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/advancemeteringtechnology/AMT
Advance Multi,https://www.moneycontrol.com/india/stockpricequote/rubber/advancemultitech/AM02
Advance Petro,https://www.moneycontrol.com/india/stockpricequote/detergents/advancepetrochemicals/AP02
Advance Power,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/advancepowerinfratech/MF05
Advance Syntex ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancesyntex/AS08
Advanced Enzyme,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET
Advanced Micron,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/advancedmicronicdevices/AMD
Advani Hotels,https://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR
Advanta,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advanta/AI39
Advent Computer,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/adventcomputerservices/ACS01
Advik Capital ,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/advikcapital/AIL04
Advik Labors,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adviklaboratories/AL07
Advitiya Trade ,https://www.moneycontrol.com/india/stockpricequote/diversified/advitiyatradeindialtd/ATI
AEC Enterprises,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aecenterprises/AEC
AEC India,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/aecindia/AEC01
Aegis Logistics,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
Aeonian Pub,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/aeonianinvestments/AI07
Aesculapius Rem,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aesculapiusremedies/AR05
Affle India,https://www.moneycontrol.com/india/stockpricequote/affleindia/affleindia/AI82
Affordable Robo,https://www.moneycontrol.com/india/stockpricequote/engineering/affordableroboticautomation/ARA
AFL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arvindfashionslimited/ARVIN54248
AFL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/apmfinvestlimited/APMFI54277
Aftek,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aftek/A14
Agarwal Ind,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/agarwalindustrialcorporation/AIC03
AGC Networks,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/agcnetworks/AGC
AGI Infra,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/agiinfra/AI43
Agio Paper,https://www.moneycontrol.com/india/stockpricequote/paper/agiopaperindustries/API08
Agri Marine Exp,https://www.moneycontrol.com/india/stockpricequote/aquaculture/agrimarineexports/AME01
Agri-Tech,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agritechindia/ATI02
Agrimas Chem,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/agrimaschemicals/ACL04
Agrimony Comm,https://www.moneycontrol.com/india/stockpricequote/trading/agrimonycommodities/AC11
Agritech Hatch,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/agritechhatcheriesfoods/AHF
Agro Chem Punj,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agrochempunjab/ACP01
Agro Dutch Ind,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/agrodutchindustries/ADI02
Agro Phos India,https://www.moneycontrol.com/india/stockpricequote/diversified/agrophosindia/API
Agro Tech Foods,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/agrotechfoods/ATF
AGS Infotech,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/agsinfotech/AGS02
Ahimsa Ind,https://www.moneycontrol.com/india/stockpricequote/plastics/ahimsaindustries/AI44
Ahlada Engineer,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/ahladaengineers/AE21
Ahlcon Parent,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ahlconparenteralindia/API01
Ahluwalia,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ahluwaliacontractsindia/ACI12
Ahmedabad St,https://www.moneycontrol.com/india/stockpricequote/steelrolling/ahmedabadstellcr/AS02
Ahura Weld,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/ahuraweldingelecmfg/AWE
AI Champdany,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aichampdanyindustries/AIC02
AIA Engineering,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
AIH,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ambassadorintraholdings/AIHL54252
Aikyam Intellec,https://www.moneycontrol.com/india/stockpricequote/packaging/aikyamintellectualpropertyconsultancy/MPU
Aimco Pesticide,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/aimcopesticides/AP03
Air Command,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/aircommandindia/ACI02
Air Command Tec,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/aircommandtechnologies/ACT
Airan,https://www.moneycontrol.com/india/stockpricequote/computershardware/airan/A09
Airo Lam,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/airolam/AL08
Aishwarya Tech,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/aishwaryatechnologiestelecom/AT15
AJ Brothers,https://www.moneycontrol.com/india/stockpricequote/aluminium/ajbrothers/AJB
Ajanta Pharma,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
Ajanta Soya,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/ajantasoya/AS03
Ajanta Tubes,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/ajantatubes/AT03
Ajcon Global,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ajconglobal/AG01
AJEL,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/ajel/AI64
Ajmera Realty,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/ajmerarealtyinfraindia/ARI03
Ajooni Biotech,https://www.moneycontrol.com/india/stockpricequote/diversified/ajoonibiotechltd/ABL01
Ajwa Fun World,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ajwafunworldresort/AFW
Akai Impex,https://www.moneycontrol.com/india/stockpricequote/trading/akaiimpex/AI09
Akar Auto Indus,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/akarautoindustries/AT04
Akar Laminators,https://www.moneycontrol.com/india/stockpricequote/packaging/akarlaminators/AL03
Akash Agencies,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/akashagencies/AA11
Akash Agro Ind,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/akashagroindustries/AAI
Akash Housing,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/akashhousing/AH03
Akash Infraproj,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akashinfraprojects/AI76
Akashdeep Metal,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akashdeepmetalindustries/AMI
AKC Synthetics,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/akcsynthetics/AKC
AKG Acoustics,https://www.moneycontrol.com/india/stockpricequote/electricals/akgacousticsindia/AKG
AKG Exim,https://www.moneycontrol.com/india/stockpricequote/diversified/akgexim/AE20
Akhil Ceramics ,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/akhilceramics/ACL01
AKI India,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/akiindia/AI80
AKM Lace & Embr,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/akmlaceembrotex/ALE
AKM Lace and Em,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akmlaceembrotex/AKM
Akme Star,https://www.moneycontrol.com/india/stockpricequote/financehousing/akmestarhousingfinance/ASH01
Aksh Optifibre,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/akshoptifibre/AO03
Akshar Spintex,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aksharspintexltd/ASL
AksharChem,https://www.moneycontrol.com/india/stockpricequote/dyespigments/aksharchemindia/AI29
Akshay Software,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/akshaysoftware/AS21
Akzo Nobel,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
Akzo Nobel Chem,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/akzonobelchemicalsindia/ANC
Al-Amanat Finan,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/alamanatfinanceandcapitalservices/AAF02
Alacrity Elec,https://www.moneycontrol.com/india/stockpricequote/electricals/alacrityelectronics/AE02
Alacrity Housin,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/alacrityhousing/AH01
Alacrity Sec,https://www.moneycontrol.com/india/stockpricequote/financegeneral/alacritysecurities/AS04
Alan Scott Ind,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/alanscottindustries/ASI04
Alang Ind Gases,https://www.moneycontrol.com/india/stockpricequote/chemicals/alangindustriesgases/AIG
Alang Marine,https://www.moneycontrol.com/india/stockpricequote/shipping/alangmarine/AM03
Alankit,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alankit/EGJ
Albert David,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/albertdavid/AD01
Alchemie Organi,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/alchemieorganics/AO01
Alchemist,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alchemist/A12
Alchemist Corp,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/alchemistcorporation/AC23
Alchemist Real,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/alchemistrealty/AR08
Alcobex Metals,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/alcoblexmetals/AM04
Alembic,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembic/A08
Alembic Glass,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/alembicglassindustries/AGI
Alembic Pharma,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35
Alert Petrogas,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alertpetrogas/AP04
Alexander Stamp,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/alexanderstampsandcoin/JLF
Alexcon Extr,https://www.moneycontrol.com/india/stockpricequote/aluminium/alexconextrusions/AE03
Alexcon Foam,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/alexconfoamcast/AF04
Alfa Exports,https://www.moneycontrol.com/india/stockpricequote/chemicals/alfaexportstechnologies/AET01
Alfa ICA,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alfaicaindia/AIC
Alfa Laval,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/alfalavalindia/ALI02
Alfa Transforme,https://www.moneycontrol.com/india/stockpricequote/electricequipment/alfatransformer/AT06
Alfavision Sec,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/alfavisionsecuritiesfinance/ASF
Alfred Herbert,https://www.moneycontrol.com/india/stockpricequote/engineering/alfredherbertindia/AHI
Alicon Castallo,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aliconcastalloy/EC06
Alka Diamond,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/alkadiamondindustries/ADI01
Alka India,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/alkaindia/AI52
Alka Secur,https://www.moneycontrol.com/india/stockpricequote/financegeneral/alkasecurities/AS17
Alkali Metals,https://www.moneycontrol.com/india/stockpricequote/chemicals/alkalimetals/AM11
